"","sample_ID","day","predict_spec","temperature","nutrients","composition","biomass","richness","tot_biomass","biom_contribution"
"4429","DS_Tmp_22_25_Nut0.01_1",39,"S","22-25 °C","0.01 g/L","DS",0,2,0,NA
"4430","DS_Tmp_22_25_Nut0.01_2",39,"S","22-25 °C","0.01 g/L","DS",0,2,0,NA
"4431","DS_Tmp_22_25_Nut0.01_3",39,"S","22-25 °C","0.01 g/L","DS",0,2,0,NA
"4432","CDPS_Tmp_22_25_Nut0.35_1",39,"S","22-25 °C","0.35 g/L","CDPS",0,4,0.0017153302136617,0
"4433","CDPS_Tmp_22_25_Nut0.35_2",39,"S","22-25 °C","0.35 g/L","CDPS",0.00373585576131151,4,0.00448969095851333,0.832096417288498
"4434","CDPS_Tmp_22_25_Nut0.35_3",39,"S","22-25 °C","0.35 g/L","CDPS",0,4,0,NA
"4435","CDS_Tmp_22_25_Nut0.35_1",39,"S","22-25 °C","0.35 g/L","CDS",0,3,0,NA
"4436","CDS_Tmp_22_25_Nut0.35_2",39,"S","22-25 °C","0.35 g/L","CDS",0,3,0,NA
"4437","CDS_Tmp_22_25_Nut0.35_3",39,"S","22-25 °C","0.35 g/L","CDS",0,3,0,NA
"4438","CLPS_Tmp_22_25_Nut0.35_1",39,"S","22-25 °C","0.35 g/L","CLPS",0,4,0.00107036380052392,0
"4439","CLPS_Tmp_22_25_Nut0.35_2",39,"S","22-25 °C","0.35 g/L","CLPS",0,4,0,NA
"4440","CLPS_Tmp_22_25_Nut0.35_3",39,"S","22-25 °C","0.35 g/L","CLPS",0,4,0,NA
"4441","DLPS_Tmp_22_25_Nut0.35_1",39,"S","22-25 °C","0.35 g/L","DLPS",0,4,0,NA
"4442","DLPS_Tmp_22_25_Nut0.35_2",39,"S","22-25 °C","0.35 g/L","DLPS",0,4,0,NA
"4443","DLPS_Tmp_22_25_Nut0.35_3",39,"S","22-25 °C","0.35 g/L","DLPS",0,4,0,NA
"4444","DLS_Tmp_22_25_Nut0.35_1",39,"S","22-25 °C","0.35 g/L","DLS",0,3,0,NA
"4445","DLS_Tmp_22_25_Nut0.35_2",39,"S","22-25 °C","0.35 g/L","DLS",0,3,0,NA
"4446","DLS_Tmp_22_25_Nut0.35_3",39,"S","22-25 °C","0.35 g/L","DLS",0,3,0,NA
"4447","LS_Tmp_22_25_Nut0.35_1",39,"S","22-25 °C","0.35 g/L","LS",0.00537961900471855,2,0.00537961900471855,1
"4448","LS_Tmp_22_25_Nut0.35_2",39,"S","22-25 °C","0.35 g/L","LS",0.0116855482615487,2,0.0116855482615487,1
"4449","LS_Tmp_22_25_Nut0.35_3",39,"S","22-25 °C","0.35 g/L","LS",0.00397635822363733,2,0.00397635822363733,1
"4450","CDLS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","CDLS",0,4,0,NA
"4451","CDLS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","CDLS",0,4,0,NA
"4452","CDLS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","CDLS",0,4,0,NA
"4453","CDS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","CDS",0,3,0,NA
"4454","CDS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","CDS",0,3,0,NA
"4455","CDS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","CDS",0,3,0,NA
"4456","CLPS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","CLPS",0,4,0,NA
"4457","CLPS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","CLPS",0,4,0,NA
"4458","CLPS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","CLPS",0,4,0.00204519385253302,0
"4459","DLPS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","DLPS",0,4,0,NA
"4460","DLPS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","DLPS",0,4,0.00158094925656315,0
"4461","DLPS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","DLPS",0,4,0.000685345717370472,0
"4462","LPS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","LPS",0,3,0,NA
"4463","LPS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","LPS",0,3,0.00419158487042674,0
"4464","LPS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","LPS",0,3,0.00310092446829438,0
"4465","LS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","LS",0.02251929791818,2,0.02251929791818,1
"4466","LS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","LS",0.0149195631271727,2,0.0149195631271727,1
"4467","LS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","LS",0.0214086016414516,2,0.0214086016414516,1
"4468","PS_Tmp_22_25_Nut0.75_1",39,"S","22-25 °C","0.75 g/L","PS",0,2,0.00230559697241665,0
"4469","PS_Tmp_22_25_Nut0.75_2",39,"S","22-25 °C","0.75 g/L","PS",0,2,0.00359474408285472,0
"4470","PS_Tmp_22_25_Nut0.75_3",39,"S","22-25 °C","0.75 g/L","PS",0,2,0.00100362033761209,0
"4471","CDLS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","CDLS",0,4,0,NA
"4472","CDLS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","CDLS",0,4,0,NA
"4473","CDLS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","CDLS",0,4,0,NA
"4474","CDPS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","CDPS",0,4,0,NA
"4475","CDPS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","CDPS",0,4,0,NA
"4476","CDPS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","CDPS",0,4,0,NA
"4477","CLPS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","CLPS",0,4,0,NA
"4478","CLPS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","CLPS",0,4,0,NA
"4479","CLPS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","CLPS",0,4,0,NA
"4480","CPS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","CPS",0,3,0,NA
"4481","CPS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","CPS",0,3,0,NA
"4482","CPS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","CPS",0,3,0,NA
"4483","DPS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","DPS",0,3,0,NA
"4484","DPS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","DPS",0,3,0,NA
"4485","DPS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","DPS",0,3,0,NA
"4486","DS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","DS",0,2,0,NA
"4487","DS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","DS",0,2,0,NA
"4488","DS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","DS",0,2,0,NA
"4489","LPS_Tmp_25_28_Nut0.01_1",39,"S","25-28 °C","0.01 g/L","LPS",0,3,0,NA
"4490","LPS_Tmp_25_28_Nut0.01_2",39,"S","25-28 °C","0.01 g/L","LPS",0,3,0,NA
"4491","LPS_Tmp_25_28_Nut0.01_3",39,"S","25-28 °C","0.01 g/L","LPS",0,3,0.00021210909635685,0
"4492","CDLS_Tmp_25_28_Nut0.35_1",39,"S","25-28 °C","0.35 g/L","CDLS",0,4,0,NA
"4493","CDLS_Tmp_25_28_Nut0.35_2",39,"S","25-28 °C","0.35 g/L","CDLS",0,4,0,NA
"4494","CDLS_Tmp_25_28_Nut0.35_3",39,"S","25-28 °C","0.35 g/L","CDLS",0,4,0,NA
"4495","CDPS_Tmp_25_28_Nut0.35_1",39,"S","25-28 °C","0.35 g/L","CDPS",0,4,0.00103046596199026,0
"4496","CDPS_Tmp_25_28_Nut0.35_2",39,"S","25-28 °C","0.35 g/L","CDPS",0,4,0,NA
"4497","CDPS_Tmp_25_28_Nut0.35_3",39,"S","25-28 °C","0.35 g/L","CDPS",0,4,0,NA
"4498","CDS_Tmp_25_28_Nut0.35_1",39,"S","25-28 °C","0.35 g/L","CDS",0,3,0,NA
"4499","CDS_Tmp_25_28_Nut0.35_2",39,"S","25-28 °C","0.35 g/L","CDS",0,3,0,NA
"4500","CDS_Tmp_25_28_Nut0.35_3",39,"S","25-28 °C","0.35 g/L","CDS",0,3,0,NA
"4501","DLPS_Tmp_25_28_Nut0.35_1",39,"S","25-28 °C","0.35 g/L","DLPS",0,4,0.000616001740683963,0
"4502","DLPS_Tmp_25_28_Nut0.35_2",39,"S","25-28 °C","0.35 g/L","DLPS",0,4,0,NA
"4503","DLPS_Tmp_25_28_Nut0.35_3",39,"S","25-28 °C","0.35 g/L","DLPS",0,4,0.00258528611004351,0
"4504","DLS_Tmp_25_28_Nut0.35_1",39,"S","25-28 °C","0.35 g/L","DLS",0,3,0,NA
"4505","DLS_Tmp_25_28_Nut0.35_2",39,"S","25-28 °C","0.35 g/L","DLS",0,3,0,NA
"4506","DLS_Tmp_25_28_Nut0.35_3",39,"S","25-28 °C","0.35 g/L","DLS",0,3,0,NA
"4507","LS_Tmp_25_28_Nut0.35_1",39,"S","25-28 °C","0.35 g/L","LS",0,2,0,NA
"4508","LS_Tmp_25_28_Nut0.35_2",39,"S","25-28 °C","0.35 g/L","LS",0.00715091848377918,2,0.00715091848377918,1
"4509","LS_Tmp_25_28_Nut0.35_3",39,"S","25-28 °C","0.35 g/L","LS",0.00780195922585149,2,0.00780195922585149,1
"4510","CDPS_Tmp_25_28_Nut0.75_1",39,"S","25-28 °C","0.75 g/L","CDPS",0,4,0.00254780650322686,0
"4511","CDPS_Tmp_25_28_Nut0.75_2",39,"S","25-28 °C","0.75 g/L","CDPS",0,4,0,NA
"4512","CDPS_Tmp_25_28_Nut0.75_3",39,"S","25-28 °C","0.75 g/L","CDPS",0,4,0.00037409187310589,0
"4513","CDS_Tmp_25_28_Nut0.75_1",39,"S","25-28 °C","0.75 g/L","CDS",0,3,0,NA
"4514","CDS_Tmp_25_28_Nut0.75_2",39,"S","25-28 °C","0.75 g/L","CDS",0,3,0,NA
"4515","CDS_Tmp_25_28_Nut0.75_3",39,"S","25-28 °C","0.75 g/L","CDS",0,3,0,NA
